description,HS6
carbides whether or not chemically defined other than of calcium or silicon,284990.0
hydrides nitrides azides silicides and borides whether or not chemically defined other than compounds which are also carbides of heading no 2849,
hydrides nitrides azides silicides and borides whether or not chemically defined other than compounds which are also carbides of heading no 2849,285000.0
inorganic or organic compounds of mercury excluding amalgams chemically defined,
inorganic or organic compounds of mercury excluding amalgams chemically defined,285210.0
inorganic or organic compounds of mercury excluding amalgams not chemically defined,285290.0
inorganic compounds cyanogen chloride chlorcyan,
inorganic compounds cyanogen chloride chlorcyan,285310.0
phosphides chemically defined or not not ferrophosphorus other inorganic compounds nec including distilled conductivity water and water of like purity liquid air rare gases removed or not compressed air amalgams not precious metal amalgams,285390.0
acyclic hydrocarbons saturated,
acyclic hydrocarbons saturated,
acyclic hydrocarbons saturated,290110.0
acyclic hydrocarbons unsaturated ethylene,290121.0
acyclic hydrocarbons unsaturated propene propylene,290122.0
acyclic hydrocarbons unsaturated butene butylene and isomers thereof,290123.0
acyclic hydrocarbons unsaturated buta13diene and isoprene,290124.0
acyclic hydrocarbons unsaturated nec in heading no 2901,290129.0
cyclic hydrocarbons cyclohexane,
cyclic hydrocarbons cyclohexane,290211.0
cyclic hydrocarbons cyclanes cyclenes and cycloterpenes excluding cyclohexane,290219.0
cyclic hydrocarbons benzene,290220.0
cyclic hydrocarbons toluene,290230.0
cyclic hydrocarbons oxylene,290241.0
cyclic hydrocarbons mxylene,290242.0
cyclic hydrocarbons pxylene,290243.0
cyclic hydrocarbons mixed xylene isomers,290244.0
cyclic hydrocarbons styrene,290250.0
cyclic hydrocarbons ethylbenzene,290260.0
cyclic hydrocarbons cumene,290270.0
cyclic hydrocarbons nec in heading no 2902,290290.0
saturated chlorinated derivatives of acyclic hydrocarbons chloromethane methyl chloride and chloroethane ethyl chloride,
saturated chlorinated derivatives of acyclic hydrocarbons chloromethane methyl chloride and chloroethane ethyl chloride,290311.0
saturated chlorinated derivatives of acyclic hydrocarbons dichloromethane methylene chloride,290312.0
saturated chlorinated derivatives of acyclic hydrocarbons chloroform trichloromethane,290313.0
saturated chlorinated derivatives of acyclic hydrocarbons carbon tetrachloride,290314.0
saturated chlorinated derivatives of acyclic hydrocarbons ethylene dichloride iso 12dichloroethane,290315.0
saturated chlorinated derivatives of acyclic hydrocarbons nec in item no 29031,290319.0
unsaturated chlorinated derivatives of acyclic hydrocarbons vinyl chloride chloroethylene,290321.0
unsaturated chlorinated derivatives of acyclic hydrocarbons trichloroethylene,290322.0
unsaturated chlorinated derivatives of acyclic hydrocarbons tetrachloroethylene perchloroethylene,290323.0
unsaturated chlorinated derivatives of acyclic hydrocarbons nec in item no 29032,290329.0
saturated fluorinated derivatives of acyclic hydrocarbons trifluoromethane hfc23,290341.0
saturated fluorinated derivatives of acyclic hydrocarbons difluoromethane hfc32,290342.0
saturated fluorinated derivatives of acyclic hydrocarbons fluoromethane hfc41 12difluoroethane hfc152 and 11difluoroethane hfc152a,290343.0
saturated fluorinated derivatives of acyclic hydrocarbons pentafluoroethane hfc125 111trifluoroethane hfc143a and 112trifluoroethane hfc143,290344.0
saturated fluorinated derivatives of acyclic hydrocarbons 1112tetrafluoroethane hfc134a and 1122tetrafluoroethane hfc134,290345.0
saturated fluorinated derivatives of acyclic hydrocarbons 1112333heptafluoropropane hfc227ea 111223hexafluoropropane hfc236cb 111233hexafluoropropane hfc236ea and 111333hexafluoropropane hfc236fa,290346.0
saturated fluorinated derivatives of acyclic hydrocarbons 11133pentafluoropropane hfc245fa and 11223pentafluoropropane hfc245ca,290347.0
saturated fluorinated derivatives of acyclic hydrocarbons 11133pentafluorobutane hfc365mfc and 1112234555decafluoropentane hfc4310mee,290348.0
saturated fluorinated derivatives of acyclic hydrocarbons nec in item no 29034,290349.0
unsaturated fluorinated derivatives of acyclic hydrocarbons 2333tetrafluoropropene hfo1234yf 1333tetrafluoropropene hfo1234ze and z111444hexafluoro2butene hfo1336mzz,290351.0
unsaturated fluorinated derivatives of acyclic hydrocarbons nec in item no 29035,290359.0
brominated or iodinated derivatives of acyclic hydrocarbons methyl bromide bromomethane,290361.0
brominated or iodinated derivatives of acyclic hydrocarbons ethylene dibromide iso 12dibromoethane,290362.0
brominated or iodinated derivatives of acyclic hydrocarbons nec in item no 29036,290369.0
halogenated derivatives of acyclic hydrocarbons containing two or more different halogens chlorodifluoromethane hcfc22,290371.0
halogenated derivatives of acyclic hydrocarbons containing two or more different halogens dichlorotrifluoroethane hcfc123,290372.0
halogenated derivatives of acyclic hydrocarbons containing two or more different halogens dichlorofluoroethanes hcfc141 141b,290373.0
halogenated derivatives of acyclic hydrocarbons containing two or more different halogens chlorodifluoroethanes hcfc142 142b,290374.0
halogenated derivatives of acyclic hydrocarbons containing two or more different halogens dichloropentafluoropropanes hcfc225 225ca 225cb,290375.0
halogenated derivatives of acyclic hydrocarbons containing two or more different halogens bromochlorodifluoromethane halon1211 bromotrifluoromethane halon1301 and dibromotetrafluoroethanes halon2402,290376.0
halogenated derivatives of acyclic hydrocarbons containing two or more different halogens nec in headings 290371 to 290376 perhalogenated only with fluorine and chlorine,290377.0
halogenated derivatives of acyclic hydrocarbons containing two or more different halogens perhalogenated derivatives other than those only with fluorine and chlorine nec in item no 290371 to 290376,290378.0
halogenated derivatives of acyclic hydrocarbons containing two or more different halogens nec in item no 29037,290379.0
halogenated derivatives of cyclanic cyclenic or cycloterpenic hydrocarbons 123456hexachlorocyclohexane hch iso including lindane iso inn,290381.0
halogenated derivatives of cyclanic cyclenic or cycloterpenic hydrocarbons aldrin iso chlordane iso and heptachlor iso,290382.0
halogenated derivatives of cyclanic cyclenic or cycloterpenic hydrocarbons mirex iso,290383.0
halogenated derivatives of cyclanic cyclenic or cycloterpenic hydrocarbons nec in item no 29038,290389.0
halogenated derivatives of aromatic hydrocarbons chlorobenzene odichlorobenzene and pdichlorobenzene,290391.0
halogenated derivatives of aromatic hydrocarbons hexachlorobenzene iso and ddt iso clofenotane inn and 111trichloro22bispchlorophenylethane,290392.0
halogenated derivatives of aromatic hydrocarbons pentachlorobenzene iso,290393.0
halogenated derivatives of aromatic hydrocarbons hexabromobiphenyls,290394.0
halogenated derivatives of aromatic hydrocarbons nec in item no 290391 290392 290393 and 290394,290399.0
